t,px,py,pz,vx,vy,vz,yaw
0.0,,,,,,,-9.182092e-05
0.024,,,,,,,-9.546591e-05
0.2,,,,,,,-6.4911204e-05
0.4,,,,,,,-1.6372987e-06
0.6,,,,,,,1.325543e-05
0.8,,,,,,,-1.2563529e-05
1.0,,,,,,0.7,-4.82803e-05
1.2,0.0062742513,-0.0155031765,0.020279055,0.00012444527,-0.0005092029,0.69948816,1.674993
1.4,0.0068889586,-0.014430148,0.027503988,3.964572e-06,-0.00051181245,0.69948816,1.6750005
1.6,0.00827383,-0.01308342,0.034895148,0.0,-0.00051193964,0.69948804,1.6747541
1.8,0.0072540715,-0.016952794,0.043736976,-2.4587991e-06,-0.0005117391,0.6994882,1.6741906
2.0,0.0044350564,-0.02476331,0.050219208,-5.093154e-06,-0.000511602,0.6994884,1.6737392
2.2,0.0017540072,-0.034192152,0.044443518,-1.8934655e-06,-0.0005116307,0.69948834,1.6738487
2.4,0.00084774126,-0.041366763,0.034889583,-8.406233e-07,-0.0005117906,0.6994882,1.6745218
2.6,0.00083350827,-0.043592855,0.028043794,6.425295e-07,-0.00051192794,0.69948804,1.6754481
2.8,0.001465468,-0.0391677,0.02260057,-1.391878e-07,-0.000511712,0.6994883,1.6761389
3.0,-0.00060971075,-0.03183391,0.020961352,-6.700768e-06,-0.0005116258,0.69948834,1.6764145
3.2,-0.006855226,-0.024944808,0.022896165,-1.0989717e-05,-0.00051165593,0.69948834,1.6763829
3.4,-0.011995091,-0.0224573,0.024417238,-5.3410868e-06,-0.0005118582,0.6994881,1.6761262
3.6,-0.01313745,-0.026239736,0.024703972,1.7984137e-06,-0.00051169266,0.6994883,1.6756788
3.8,-0.009201833,-0.034066655,0.025540125,7.350286e-06,-0.00051163166,0.69948834,1.6752782
4.0,-0.004237008,-0.04147683,0.028234571,7.879933e-06,-0.00051160186,0.6994884,1.6751688
4.2,0.00011948164,-0.04877772,0.031750605,3.932124e-06,-0.0005117724,0.6994882,1.675078
4.4,0.0012747849,-0.05236198,0.03504224,1.93205e-06,-0.00051190733,0.6994881,1.6750317
4.6,0.0029566023,-0.05262608,0.036376227,2.525793e-06,-0.0005119077,0.6994881,1.6751668
4.8,0.0048719356,-0.05089969,0.038082812,3.307336e-06,-0.00051188597,0.6994881,1.6753739
5.0,0.0076632975,-0.05007985,0.039020363,5.121055e-06,-0.0005118695,0.6994881,1.6753688
5.2,0.009982754,-0.052278087,0.038794793,1.2445381e-06,-0.00051183306,0.69948816,1.6752285
5.4,0.010633972,-0.056862712,0.03758101,1.9280376e-06,-0.0005117985,0.69948816,1.6750443
5.6,0.013037971,-0.06079713,0.034585077,3.9988067e-06,-0.0005118233,0.69948816,1.675018
5.8,0.014914169,-0.062308807,0.02890053,1.3075543e-06,-0.0005119601,0.69948804,1.6751754
6.0,0.01550667,-0.06223941,0.024147045,6.520923e-07,-0.00051197933,0.699488,1.6753591
6.2,0.015602403,-0.061735984,0.022113115,-1.4493703e-07,-0.0005119209,0.69948804,1.6754298
6.4,0.015243218,-0.06004616,0.019351419,-9.970067e-07,-0.00051194796,0.69948804,1.6755127
6.6,0.013144112,-0.05934669,0.015845092,-4.224833e-06,-0.0005118243,0.69948816,1.6754749
6.8,0.009420403,-0.055411745,0.009531069,-5.421973e-06,-0.000511729,0.6994883,1.6756399
7.0,0.005701607,-0.050586704,0.00048503277,-4.4885196e-06,-0.0005117655,0.6994882,1.6759053
7.2,0.0048438394,-0.044904314,-0.0057137995,8.996299e-07,-0.00051172375,0.6994883,1.6759949
7.4,0.006972751,-0.03811947,-0.008506764,3.70203e-06,-0.0005117121,0.6994883,1.6760263
7.6,0.00809071,-0.03134629,-0.011313007,0.0,-0.00051171635,0.6994883,1.6761844
7.8,0.007333468,-0.026463946,-0.015307081,-1.905329e-06,-0.0005118694,0.6994881,1.6764168
8.0,0.0070718285,-0.024710337,-0.019056676,2.2887107e-08,-0.0005119633,0.69948804,1.676341
8.2,0.006657019,-0.024662688,-0.021082252,-2.405917e-06,-0.0005119019,0.6994881,1.6762458
8.4,0.0029892148,-0.024317473,-0.021458829,-6.3724124e-06,-0.0005118301,0.69948816,1.6764627
8.6,-0.0010473058,-0.024304004,-0.020953534,-5.813288e-06,-0.00051184616,0.69948816,1.6765527
8.8,-0.0035746444,-0.021100102,-0.019308377,-2.7860424e-06,-0.0005117774,0.6994882,1.6765769
9.0,-0.0052501163,-0.015610764,-0.019611,-1.9450822e-06,-0.00051175343,0.6994882,1.6765336
9.2,-0.0064789336,-0.010205136,-0.021428483,-1.3378192e-06,-0.000511798,0.69948816,1.676478
9.4,-0.0062334663,-0.006541133,-0.022084422,1.477013e-06,-0.0005119202,0.69948804,1.6763777
9.6,-0.005216323,-0.0059065996,-0.022966035,2.2556405e-06,-0.00051192293,0.69948804,1.6762491
9.8,-0.0023863148,-0.005269438,-0.02316881,5.509897e-06,-0.00051185477,0.69948816,1.6761299
10.0,0.00032936764,-0.003320662,-0.022765199,2.409665e-06,-0.00051187765,0.6994881,1.6760906
10.2,0.0009911662,-2.4396945e-06,-0.023651281,5.757655e-07,-0.00051183684,0.69948816,1.6760578
10.4,0.0017621985,0.0047365227,-0.026328893,7.4344103e-07,-0.000511787,0.6994882,1.6760558
10.6,0.0015233929,0.009827004,-0.02961728,0.0,-0.0005117845,0.6994882,1.6761168
10.8,0.002842554,0.015812308,-0.032947306,3.0749172e-06,-0.00051172817,0.6994883,1.6762003
11.0,0.0045975107,0.021133924,-0.034755986,1.398879e-06,-0.0005118845,0.6994881,1.6762049
11.2,0.005153977,0.022062521,-0.036673866,4.671804e-07,-0.0005119706,0.69948804,1.6760659
11.4,0.0049694134,0.02138581,-0.040235694,-5.9871024e-07,-0.0005119623,0.69948804,1.6759067
11.6,0.003324513,0.02088501,-0.043967295,-3.2636538e-06,-0.0005118987,0.6994881,1.6758687
11.8,0.00015856574,0.019855348,-0.048549805,-4.8988263e-06,-0.00051182945,0.69948816,1.6758273
12.0,-0.0045800908,0.017617704,-0.05348443,-8.212139e-06,-0.00051174866,0.6994882,1.6757267
12.2,-0.010149273,0.014546542,-0.05653791,-7.3778538e-06,-0.00051177916,0.6994882,1.6756823
12.4,-0.012496857,0.01051951,-0.059403095,-1.1987431e-06,-0.00051176414,0.6994882,1.6755748
12.6,-0.013766618,0.0050550383,-0.0612929,-2.6300504e-06,-0.00051176274,0.6994882,1.6754055
12.8,-0.015712317,-0.0012821655,-0.06101512,-2.0839339e-06,-0.00051171565,0.6994883,1.6752694
13.0,-0.017434627,-0.007653884,-0.057024155,-3.5691126e-06,-0.00051173626,0.6994882,1.675174
13.2,-0.019212894,-0.012833759,-0.051848732,-1.126445e-06,-0.00051183865,0.69948816,1.6751289
13.4,-0.019982835,-0.016136892,-0.047632474,-1.8101408e-06,-0.00051186595,0.6994881,1.6751541
13.6,-0.02092785,-0.019604841,-0.046095524,-1.4559346e-06,-0.00051182933,0.69948816,1.6751622
13.8,-0.022730304,-0.023262514,-0.04815643,-3.2483238e-06,-0.0005118606,0.6994881,1.675159
14.0,-0.024174258,-0.025029056,-0.050446402,-1.2161237e-06,-0.0005119649,0.69948804,1.6751034
14.2,-0.025224369,-0.023933595,-0.05194512,-1.5398613e-06,-0.00051192247,0.69948804,1.6751179
14.4,-0.025760734,-0.022085743,-0.054421328,-1.2198576e-06,-0.0005119011,0.6994881,1.6751543
14.6,-0.027507994,-0.019843059,-0.05691144,-1.9395998e-06,-0.00051187334,0.6994881,1.6752173
14.8,-0.027597012,-0.01660886,-0.057068978,5.3385924e-07,-0.00051188667,0.6994881,1.6753532
15.0,-0.026994515,-0.01449753,-0.05535089,6.1584876e-07,-0.00051193434,0.69948804,1.6754191
15.2,-0.027718497,-0.013779429,-0.052726295,-1.968294e-06,-0.00051194726,0.69948804,1.6754099
15.4,-0.029006276,-0.0128644835,-0.049885925,-2.0463217e-06,-0.0005119391,0.69948804,1.6753143
15.6,-0.029867161,-0.013066803,-0.04685571,-1.2998842e-06,-0.0005119202,0.69948804,1.6752394
15.8,-0.031023558,-0.016676834,-0.04302242,-2.6130488e-06,-0.0005118084,0.69948816,1.6751659
16.0,-0.03226468,-0.020893151,-0.038160484,-1.6958537e-06,-0.0005118314,0.69948816,1.6751065
16.2,-0.033152565,-0.025272336,-0.034045186,-7.2819313e-07,-0.0005117824,0.6994882,1.6750813
16.4,-0.03289669,-0.031505972,-0.032441337,1.6138167e-06,-0.00051172543,0.6994883,1.6751088
16.6,-0.031792175,-0.037690353,-0.03039457,1.7623333e-06,-0.00051174226,0.6994882,1.6751279
16.8,-0.030725371,-0.04344622,-0.025957124,1.2692743e-06,-0.00051181304,0.69948816,1.6750782
17.0,-0.029235179,-0.046507332,-0.02234048,3.4156458e-06,-0.00051187415,0.6994881,
17.2,-0.025940917,-0.047375992,-0.020783573,-3.9658295e-07,-0.0005118227,0.69948816,
17.4,-0.020670542,-0.047716886,-0.020701697,-1.1129946e-06,-0.00051173236,0.6994883,
17.6,-0.013450084,-0.046718102,-0.02128939,-2.133309e-06,-0.00051166775,0.69948834,
