timestamp_s,output[0],output[1],output[2],output[3]
3.768,0.0,0.0,0.0,0.0
3.772,0.0,0.0,0.0,0.0
3.88,0.0,0.0,0.0,0.0
3.968,0.0,0.0,0.0,0.0
4.068,0.0,0.0,0.0,0.0
4.168,0.0,0.0,0.0,0.0
4.268,0.0,0.0,0.0,0.0
4.368,0.0,0.0,0.0,0.0
4.468,0.0,0.0,0.0,0.0
4.568,0.0,0.0,0.0,0.0
4.668,0.0,0.0,0.0,0.0
4.768,0.0,0.0,0.0,0.0
4.868,0.0,0.0,0.0,0.0
4.968,0.0,0.0,0.0,0.0
5.068,0.0,0.0,0.0,0.0
5.168,0.0,0.0,0.0,0.0
5.268,0.0,0.0,0.0,0.0
5.368,0.0,0.0,0.0,0.0
5.468,0.0,0.0,0.0,0.0
5.568,0.0,0.0,0.0,0.0
5.668,0.0,0.0,0.0,0.0
5.768,0.0,0.0,0.0,0.0
5.868,0.0,0.0,0.0,0.0
5.968,0.0,0.0,0.0,0.0
6.068,0.0,0.0,0.0,0.0
6.168,0.0,0.0,0.0,0.0
6.268,0.0,0.0,0.0,0.0
6.368,0.0,0.0,0.0,0.0
6.468,0.0,0.0,0.0,0.0
6.568,0.0,0.0,0.0,0.0
6.668,0.0,0.0,0.0,0.0
6.768,0.0,0.0,0.0,0.0
6.868,0.0,0.0,0.0,0.0
6.968,0.0,0.0,0.0,0.0
7.068,0.0,0.0,0.0,0.0
7.168,0.0,0.0,0.0,0.0
7.268,0.0,0.0,0.0,0.0
7.368,0.0,0.0,0.0,0.0
7.468,0.0,0.0,0.0,0.0
7.568,0.0,0.0,0.0,0.0
7.668,0.0,0.0,0.0,0.0
7.768,0.0,0.0,0.0,0.0
7.868,0.0,0.0,0.0,0.0
7.968,0.0,0.0,0.0,0.0
8.068,0.0,0.0,0.0,0.0
8.168,0.0,0.0,0.0,0.0
8.268,0.0,0.0,0.0,0.0
8.368,0.0,0.0,0.0,0.0
8.468,0.0,0.0,0.0,0.0
8.568,0.0,0.0,0.0,0.0
8.668,0.0,0.0,0.0,0.0
8.768,0.0,0.0,0.0,0.0
8.868,0.0,0.0,0.0,0.0
8.968,0.0,0.0,0.0,0.0
9.068,0.0,0.0,0.0,0.0
9.168,0.0,0.0,0.0,0.0
9.268,0.0,0.0,0.0,0.0
9.368,0.0,0.0,0.0,0.0
9.468,0.0,0.0,0.0,0.0
9.568,0.0,0.0,0.0,0.0
9.668,0.0,0.0,0.0,0.0
9.768,152.0,150.0,152.0,150.0
9.868,152.0,150.0,152.0,150.0
9.968,152.0,150.0,151.0,150.0
10.068,152.0,150.0,151.0,150.0
10.168,152.0,150.0,152.0,150.0
10.268,152.0,150.0,152.0,150.0
10.368,152.0,150.0,151.0,150.0
10.468,152.0,150.0,152.0,150.0
10.568,152.0,150.0,151.0,150.0
10.668,152.0,150.0,151.0,151.0
10.768,156.0,151.0,152.0,155.0
10.868,169.0,166.0,166.0,169.0
10.968,182.0,183.0,181.0,184.0
11.068,198.0,204.0,198.0,203.0
11.168,215.0,224.0,217.0,222.0
11.268,236.0,247.0,239.0,244.0
11.368,257.0,271.0,261.0,267.0
11.468,282.0,298.0,286.0,294.0
11.568,306.0,326.0,312.0,320.0
11.668,334.0,358.0,341.0,350.0
11.768,362.0,389.0,370.0,380.0
11.868,395.0,424.0,404.0,415.0
11.968,427.0,458.0,437.0,448.0
12.068,453.0,487.0,464.0,476.0
12.168,459.0,496.0,471.0,484.0
12.268,469.0,510.0,482.0,496.0
12.368,476.0,520.0,490.0,505.0
12.468,487.0,535.0,503.0,519.0
12.568,494.0,546.0,511.0,529.0
12.668,506.0,562.0,525.0,543.0
12.768,515.0,574.0,535.0,554.0
12.868,528.0,591.0,550.0,569.0
12.968,539.0,604.0,561.0,581.0
13.068,554.0,621.0,578.0,597.0
13.168,565.0,634.0,590.0,609.0
13.268,580.0,653.0,607.0,626.0
13.368,592.0,668.0,620.0,640.0
13.468,609.0,688.0,638.0,658.0
13.568,621.0,703.0,652.0,672.0
13.668,639.0,724.0,670.0,692.0
13.768,652.0,741.0,685.0,707.0
13.868,698.0,787.0,733.0,752.0
13.968,725.0,790.0,758.0,756.0
14.068,761.0,792.0,782.0,766.0
14.168,789.0,778.0,792.0,789.0
14.268,799.0,786.0,799.0,804.0
