timestamp_s,output[0],output[1],output[2],output[3]
3.82,0.0,0.0,0.0,0.0
3.824,0.0,0.0,0.0,0.0
3.928,0.0,0.0,0.0,0.0
4.02,0.0,0.0,0.0,0.0
4.12,0.0,0.0,0.0,0.0
4.22,0.0,0.0,0.0,0.0
4.32,0.0,0.0,0.0,0.0
4.42,0.0,0.0,0.0,0.0
4.52,0.0,0.0,0.0,0.0
4.62,0.0,0.0,0.0,0.0
4.72,0.0,0.0,0.0,0.0
4.82,0.0,0.0,0.0,0.0
4.92,0.0,0.0,0.0,0.0
5.02,0.0,0.0,0.0,0.0
5.12,0.0,0.0,0.0,0.0
5.22,0.0,0.0,0.0,0.0
5.32,0.0,0.0,0.0,0.0
5.42,0.0,0.0,0.0,0.0
5.52,0.0,0.0,0.0,0.0
5.62,0.0,0.0,0.0,0.0
5.72,0.0,0.0,0.0,0.0
5.82,0.0,0.0,0.0,0.0
5.92,0.0,0.0,0.0,0.0
6.02,0.0,0.0,0.0,0.0
6.12,0.0,0.0,0.0,0.0
6.22,0.0,0.0,0.0,0.0
6.32,0.0,0.0,0.0,0.0
6.42,0.0,0.0,0.0,0.0
6.52,0.0,0.0,0.0,0.0
6.62,0.0,0.0,0.0,0.0
6.72,0.0,0.0,0.0,0.0
6.82,0.0,0.0,0.0,0.0
6.92,0.0,0.0,0.0,0.0
7.02,0.0,0.0,0.0,0.0
7.12,0.0,0.0,0.0,0.0
7.22,0.0,0.0,0.0,0.0
7.32,0.0,0.0,0.0,0.0
7.42,0.0,0.0,0.0,0.0
7.52,0.0,0.0,0.0,0.0
7.62,0.0,0.0,0.0,0.0
7.72,0.0,0.0,0.0,0.0
7.82,0.0,0.0,0.0,0.0
7.92,0.0,0.0,0.0,0.0
8.02,0.0,0.0,0.0,0.0
8.12,0.0,0.0,0.0,0.0
8.22,0.0,0.0,0.0,0.0
8.32,0.0,0.0,0.0,0.0
8.42,0.0,0.0,0.0,0.0
8.52,0.0,0.0,0.0,0.0
8.62,0.0,0.0,0.0,0.0
8.72,0.0,0.0,0.0,0.0
8.82,151.0,151.0,150.0,152.0
8.92,151.0,150.0,150.0,151.0
9.02,151.0,151.0,150.0,151.0
9.12,151.0,151.0,150.0,151.0
9.22,151.0,151.0,150.0,151.0
9.32,151.0,151.0,150.0,151.0
9.42,151.0,151.0,150.0,151.0
9.52,151.0,151.0,150.0,152.0
9.62,151.0,151.0,150.0,152.0
9.72,151.0,151.0,150.0,152.0
9.82,159.0,154.0,156.0,158.0
9.92,172.0,167.0,169.0,171.0
10.02,188.0,184.0,185.0,187.0
10.12,203.0,202.0,202.0,203.0
10.22,223.0,223.0,223.0,222.0
10.32,242.0,245.0,244.0,243.0
10.42,265.0,270.0,269.0,267.0
10.52,289.0,296.0,293.0,292.0
10.62,316.0,326.0,322.0,320.0
10.72,342.0,356.0,350.0,348.0
10.82,373.0,390.0,383.0,380.0
10.92,403.0,423.0,415.0,411.0
11.02,438.0,460.0,452.0,447.0
11.12,462.0,487.0,477.0,471.0
11.22,473.0,500.0,490.0,483.0
11.32,481.0,509.0,500.0,491.0
11.42,493.0,524.0,513.0,504.0
11.52,502.0,534.0,523.0,513.0
11.62,516.0,549.0,538.0,527.0
11.72,526.0,560.0,550.0,536.0
11.82,540.0,577.0,567.0,550.0
11.92,551.0,589.0,580.0,560.0
12.02,567.0,607.0,597.0,577.0
12.12,578.0,621.0,610.0,589.0
12.22,594.0,640.0,629.0,606.0
12.32,607.0,654.0,643.0,618.0
12.42,625.0,674.0,663.0,636.0
12.52,639.0,689.0,678.0,650.0
12.62,658.0,709.0,699.0,669.0
12.72,673.0,725.0,714.0,683.0
12.82,719.0,772.0,762.0,729.0
12.92,739.0,784.0,776.0,747.0
13.02,771.0,789.0,786.0,777.0
13.12,793.0,784.0,789.0,796.0
13.22,802.0,793.0,798.0,805.0
13.32,800.0,798.0,801.0,803.0
13.42,801.0,804.0,805.0,804.0
13.52,797.0,801.0,802.0,800.0
13.62,800.0,803.0,803.0,802.0
13.72,797.0,798.0,798.0,798.0
13.82,805.0,811.0,809.0,808.0
13.92,826.0,826.0,827.0,825.0
14.02,861.0,861.0,862.0,861.0
14.12,862.0,862.0,863.0,862.0
14.22,846.0,846.0,846.0,845.0
14.32,811.0,811.0,811.0,811.0
14.42,793.0,793.0,793.0,793.0
14.52,770.0,770.0,770.0,770.0
14.62,756.0,756.0,756.0,757.0
14.72,739.0,740.0,740.0,740.0
14.82,725.0,726.0,725.0,725.0
14.92,712.0,712.0,713.0,713.0
15.02,712.0,712.0,712.0,712.0
15.12,728.0,727.0,727.0,728.0
15.22,744.0,745.0,744.0,745.0
15.32,751.0,752.0,752.0,752.0
15.42,760.0,761.0,760.0,761.0
15.52,761.0,761.0,761.0,761.0
15.62,764.0,764.0,764.0,764.0
15.72,761.0,761.0,761.0,761.0
15.82,761.0,762.0,761.0,761.0
15.92,757.0,758.0,758.0,757.0
16.02,758.0,757.0,757.0,757.0
16.12,755.0,755.0,753.0,755.0
16.22,756.0,755.0,755.0,755.0
16.32,754.0,754.0,753.0,754.0
16.42,755.0,755.0,756.0,755.0
16.52,754.0,754.0,755.0,755.0
16.62,756.0,756.0,758.0,758.0
16.72,755.0,755.0,758.0,757.0
16.82,757.0,757.0,759.0,759.0
16.92,755.0,757.0,758.0,758.0
17.02,758.0,758.0,759.0,759.0
17.12,758.0,758.0,758.0,758.0
17.22,760.0,760.0,759.0,759.0
17.32,759.0,759.0,758.0,758.0
17.42,761.0,761.0,759.0,759.0
17.52,761.0,760.0,758.0,759.0
17.62,761.0,762.0,760.0,760.0
17.72,761.0,761.0,759.0,759.0
17.82,762.0,762.0,760.0,760.0
17.92,761.0,761.0,760.0,759.0
18.02,762.0,762.0,761.0,761.0
18.12,761.0,761.0,761.0,761.0
18.22,762.0,762.0,762.0,762.0
18.32,761.0,760.0,762.0,762.0
18.42,762.0,761.0,763.0,763.0
18.52,762.0,762.0,763.0,763.0
18.62,763.0,763.0,764.0,765.0
18.72,763.0,763.0,764.0,765.0
18.82,764.0,764.0,765.0,765.0
18.92,763.0,764.0,765.0,765.0
19.02,764.0,763.0,765.0,765.0
19.12,764.0,763.0,764.0,764.0
19.22,764.0,764.0,764.0,764.0
19.32,764.0,764.0,764.0,764.0
19.42,765.0,764.0,764.0,764.0
19.52,765.0,765.0,764.0,764.0
19.62,766.0,766.0,765.0,765.0
