timestamp_s,output[0],output[1],output[2],output[3]
2.96,0.0,0.0,0.0,0.0
2.964,0.0,0.0,0.0,0.0
3.056,0.0,0.0,0.0,0.0
3.16,0.0,0.0,0.0,0.0
3.26,0.0,0.0,0.0,0.0
3.36,0.0,0.0,0.0,0.0
3.46,0.0,0.0,0.0,0.0
3.56,0.0,0.0,0.0,0.0
3.66,0.0,0.0,0.0,0.0
3.76,0.0,0.0,0.0,0.0
3.86,0.0,0.0,0.0,0.0
3.96,0.0,0.0,0.0,0.0
4.06,0.0,0.0,0.0,0.0
4.16,0.0,0.0,0.0,0.0
4.26,0.0,0.0,0.0,0.0
4.36,0.0,0.0,0.0,0.0
4.46,0.0,0.0,0.0,0.0
4.56,0.0,0.0,0.0,0.0
4.66,0.0,0.0,0.0,0.0
4.76,0.0,0.0,0.0,0.0
4.86,0.0,0.0,0.0,0.0
4.96,0.0,0.0,0.0,0.0
5.06,0.0,0.0,0.0,0.0
5.16,0.0,0.0,0.0,0.0
5.26,0.0,0.0,0.0,0.0
5.36,0.0,0.0,0.0,0.0
5.46,0.0,0.0,0.0,0.0
5.56,0.0,0.0,0.0,0.0
5.66,0.0,0.0,0.0,0.0
5.76,0.0,0.0,0.0,0.0
5.86,0.0,0.0,0.0,0.0
5.96,0.0,0.0,0.0,0.0
6.06,0.0,0.0,0.0,0.0
6.16,0.0,0.0,0.0,0.0
6.26,0.0,0.0,0.0,0.0
6.36,0.0,0.0,0.0,0.0
6.46,0.0,0.0,0.0,0.0
6.56,0.0,0.0,0.0,0.0
6.66,0.0,0.0,0.0,0.0
6.76,0.0,0.0,0.0,0.0
6.86,0.0,0.0,0.0,0.0
6.96,0.0,0.0,0.0,0.0
7.06,0.0,0.0,0.0,0.0
7.16,0.0,0.0,0.0,0.0
7.26,0.0,0.0,0.0,0.0
7.36,0.0,0.0,0.0,0.0
7.46,0.0,0.0,0.0,0.0
7.56,0.0,0.0,0.0,0.0
7.66,0.0,0.0,0.0,0.0
7.76,0.0,0.0,0.0,0.0
7.86,0.0,0.0,0.0,0.0
7.96,0.0,0.0,0.0,0.0
8.06,0.0,0.0,0.0,0.0
8.16,0.0,0.0,0.0,0.0
8.26,0.0,0.0,0.0,0.0
8.36,0.0,0.0,0.0,0.0
8.46,0.0,0.0,0.0,0.0
8.56,0.0,0.0,0.0,0.0
8.66,0.0,0.0,0.0,0.0
8.76,0.0,0.0,0.0,0.0
8.86,0.0,0.0,0.0,0.0
8.96,0.0,0.0,0.0,0.0
9.06,0.0,0.0,0.0,0.0
9.16,0.0,0.0,0.0,0.0
9.26,0.0,0.0,0.0,0.0
9.36,0.0,0.0,0.0,0.0
9.46,0.0,0.0,0.0,0.0
9.56,0.0,0.0,0.0,0.0
9.66,0.0,0.0,0.0,0.0
9.76,0.0,0.0,0.0,0.0
9.86,0.0,0.0,0.0,0.0
9.956,0.0,0.0,0.0,0.0
10.06,0.0,0.0,0.0,0.0
10.16,0.0,0.0,0.0,0.0
10.26,0.0,0.0,0.0,0.0
10.36,0.0,0.0,0.0,0.0
10.46,0.0,0.0,0.0,0.0
10.56,0.0,0.0,0.0,0.0
10.66,0.0,0.0,0.0,0.0
10.76,0.0,0.0,0.0,0.0
10.86,0.0,0.0,0.0,0.0
10.96,0.0,0.0,0.0,0.0
11.06,0.0,0.0,0.0,0.0
11.16,0.0,0.0,0.0,0.0
11.26,0.0,0.0,0.0,0.0
11.36,0.0,0.0,0.0,0.0
11.46,0.0,0.0,0.0,0.0
11.56,0.0,0.0,0.0,0.0
11.66,0.0,0.0,0.0,0.0
11.76,0.0,0.0,0.0,0.0
11.86,0.0,0.0,0.0,0.0
11.96,0.0,0.0,0.0,0.0
12.06,0.0,0.0,0.0,0.0
12.16,0.0,0.0,0.0,0.0
12.26,0.0,0.0,0.0,0.0
12.36,0.0,0.0,0.0,0.0
12.46,0.0,0.0,0.0,0.0
12.56,0.0,0.0,0.0,0.0
12.66,0.0,0.0,0.0,0.0
12.76,0.0,0.0,0.0,0.0
12.86,0.0,0.0,0.0,0.0
12.96,0.0,0.0,0.0,0.0
13.06,0.0,0.0,0.0,0.0
13.16,0.0,0.0,0.0,0.0
13.26,0.0,0.0,0.0,0.0
13.36,0.0,0.0,0.0,0.0
13.46,0.0,0.0,0.0,0.0
13.56,0.0,0.0,0.0,0.0
13.66,0.0,0.0,0.0,0.0
13.76,0.0,0.0,0.0,0.0
13.86,0.0,0.0,0.0,0.0
13.96,0.0,0.0,0.0,0.0
14.06,0.0,0.0,0.0,0.0
14.16,0.0,0.0,0.0,0.0
14.26,0.0,0.0,0.0,0.0
14.36,0.0,0.0,0.0,0.0
14.46,0.0,0.0,0.0,0.0
14.56,0.0,0.0,0.0,0.0
14.66,0.0,0.0,0.0,0.0
14.76,0.0,0.0,0.0,0.0
14.86,0.0,0.0,0.0,0.0
14.96,0.0,0.0,0.0,0.0
15.06,0.0,0.0,0.0,0.0
15.16,0.0,0.0,0.0,0.0
15.26,0.0,0.0,0.0,0.0
15.36,0.0,0.0,0.0,0.0
15.46,0.0,0.0,0.0,0.0
15.56,0.0,0.0,0.0,0.0
15.66,0.0,0.0,0.0,0.0
15.76,0.0,0.0,0.0,0.0
15.86,0.0,0.0,0.0,0.0
15.96,0.0,0.0,0.0,0.0
16.06,0.0,0.0,0.0,0.0
16.16,0.0,0.0,0.0,0.0
16.26,0.0,0.0,0.0,0.0
16.36,0.0,0.0,0.0,0.0
16.46,0.0,0.0,0.0,0.0
