timestamp_s,vx,vy,vz
2.956,-0.0010593813,-0.001604608,0.0023619814
2.964,-0.0011090429,-0.0016323837,0.0023948764
2.972,-0.0010808728,-0.0016372872,0.0024245288
2.98,-0.0011362559,-0.0016883388,0.0024653985
2.988,-0.0011523069,-0.0017508988,0.002491073
3.0,-0.0011703398,-0.0018220051,0.002548077
3.008,-0.0012090309,-0.0018716668,0.0025817142
3.012,-0.0012686464,-0.001865979,0.0026242335
3.024,-0.0012677774,-0.0019128312,0.0026725319
3.032,-0.0013109494,-0.0019461059,0.0027176891
3.04,-0.001426388,-0.0019737931,0.0027685338
3.048,-0.0014537092,-0.0019838063,0.0027372928
3.056,-0.001461817,-0.0020320846,0.0026660901
3.092,-0.0014543022,-0.0020402458,0.00260725
3.1,-0.0014514251,-0.002002232,0.0025474022
3.104,-0.0014033009,-0.0019655211,0.002479232
3.112,-0.0013693413,-0.0018872959,0.0024427774
3.12,-0.0013797719,-0.0018867174,0.002386232
3.128,-0.0013983021,-0.0018819486,0.0023520058
3.136,-0.0014401311,-0.0018395231,0.002304996
3.144,-0.0014963063,-0.0018310224,0.0022630945
3.152,-0.001520939,-0.0018576441,0.0022432194
3.16,-0.0015574993,-0.0018480108,0.0021856935
3.168,-0.0015231259,-0.001860186,0.002158217
3.176,-0.0015097994,-0.0018174866,0.0021520501
3.184,-0.0015386611,-0.0018113196,0.0021602008
3.192,-0.0015370698,-0.0017903394,0.0021152569
3.2,-0.0015646816,-0.0017285316,0.0020597384
3.204,-0.0016437694,-0.001786369,0.0020293857
3.212,-0.0016458164,-0.0017856428,0.0019060354
3.22,-0.0016826473,-0.0017934714,0.0018524943
3.228,-0.0016175361,-0.0017753632,0.001784852
3.236,-0.0016246707,-0.0017052747,0.0017551463
3.244,-0.0016056434,-0.0016536716,0.0016926884
3.252,-0.0015669662,-0.001557961,0.0016089658
3.26,-0.001545222,-0.0015455083,0.0015588889
3.268,-0.0014910517,-0.0014824003,0.0014820547
3.276,-0.0014042534,-0.0014606875,0.0013960281
3.284,-0.001369139,-0.001450817,0.0013268053
3.292,-0.0013717262,-0.0014189245,0.0012485298
3.3,-0.0013918203,-0.0013541032,0.001205947
3.308,-0.001395295,-0.0012702151,0.0011557898
3.316,-0.0014557376,-0.0012231732,0.0010948711
3.324,-0.0014669575,-0.00122915,0.0010374304
3.332,-0.0014581181,-0.0011515598,0.0009995616
3.34,-0.0014239044,-0.001094311,0.001007145
3.348,-0.0014337793,-0.0010119034,0.0009496771
3.356,-0.0014427941,-0.00093290163,0.0009862891
3.364,-0.0014438829,-0.000860292,0.0009962461
3.372,-0.0014700149,-0.00080370257,0.000922343
3.38,-0.0015117655,-0.0007587819,0.0009130617
3.388,-0.0015182627,-0.00067470863,0.00089762727
3.396,-0.00147379,-0.00065138476,0.00089594786
3.404,-0.0015034841,-0.00062166364,0.00086954463
3.412,-0.00144303,-0.00051800814,0.0009040587
3.42,-0.0014515631,-0.0004588823,0.000854626
3.428,-0.0014284682,-0.00037546552,0.00084478565
3.436,-0.0014403833,-0.0003036044,0.0007752188
3.444,-0.0014252793,-0.00021079878,0.00075587945
3.452,-0.0014184709,-0.00013882805,0.0007026041
3.46,-0.0014243495,-0.00011936913,0.00071371923
3.468,-0.0014561764,-8.842542e-05,0.0007524063
3.476,-0.0014338027,-3.5708552e-05,0.00072880636
3.484,-0.0014524913,5.645423e-06,0.0007826603
3.492,-0.0015133221,9.891811e-05,0.00077313185
3.5,-0.0014638271,0.00015669693,0.0007545005
3.508,-0.0014837172,0.0002017789,0.00076691894
3.516,-0.0014627406,0.00020425956,0.00073264027
3.524,-0.0014527973,0.00023814337,0.0007981304
3.532,-0.0014143061,0.00030281884,0.00074978085
3.54,-0.0014080082,0.0003249662,0.00071065436
3.548,-0.0013886123,0.00035261607,0.0006652563
3.556,-0.001440904,0.00037578485,0.0006513051
3.564,-0.0014344632,0.0003627458,0.00062842673
3.572,-0.001384616,0.0004202064,0.00054124603
3.58,-0.0013287952,0.00047204384,0.00048412292
3.588,-0.0013167757,0.00045006326,0.00049029285
3.596,-0.0013160751,0.0004587259,0.00048356943
3.604,-0.0013585781,0.00045876476,0.00046709646
3.612,-0.001423732,0.00050057017,0.0004889352
3.62,-0.0014147558,0.0005301923,0.00052764
3.628,-0.0014262918,0.0005328778,0.0005345109
3.636,-0.0014712001,0.0005709702,0.00051596324
3.644,-0.001473479,0.00061829976,0.00052718923
3.652,-0.0014588026,0.0006278833,0.000524845
3.66,-0.0014463337,0.00060970656,0.00051206787
3.668,-0.0014659101,0.0006197073,0.00048063335
3.676,-0.0014387626,0.000651436,0.0004924315
