t,px,py,pz,vx,vy,vz,yaw
0.0,,,,,,,5.854302e-05
0.024,,,,,,,5.0889375e-05
0.204,,,,,,,3.0966345e-05
0.404,,,,,,,-2.7115875e-06
0.604,,,,,,,4.256816e-05
0.804,,,,,,,4.3841967e-05
1.004,,,,,,0.7,9.4985177e-07
1.204,0.015282503,0.010111616,-0.042901218,3.397505e-05,0.03452496,0.0036906032,1.6747797
1.404,0.012672698,0.017846985,-0.039419435,0.0,0.0010368376,0.69884956,1.6747446
1.604,0.0018886955,0.021544619,-0.040915843,0.0,0.00103204,0.6988497,1.6745344
1.804,-0.012800798,0.017751783,-0.039613247,0.0,0.0010289834,0.6988504,1.6738706
2.004,-0.027187306,0.011707839,-0.037100807,0.0,0.0010295687,0.69884974,1.6734933
2.204,-0.035838205,0.0068068886,-0.034079097,0.0,0.0010315424,0.69884896,1.6738455
2.404,-0.04092891,0.0055746753,-0.030891001,0.0,0.001033671,0.6988484,1.6748339
2.604,-0.04181463,0.005668919,-0.027629491,1.1009975e-06,0.0010334416,0.6988485,1.6755872
2.804,-0.036008388,0.0026883536,-0.022944406,0.0,0.0010305308,0.69884926,1.6756272
3.004,-0.026999699,-0.0036916782,-0.019225368,0.0,0.001028712,0.6988497,1.6753014
3.204,-0.017283162,-0.011631777,-0.0199779,0.0,0.0010289263,0.69884956,1.6749805
3.404,-0.01086571,-0.015866674,-0.02291214,0.0,0.0010325878,0.6988485,1.6752486
3.604,-0.008964673,-0.016832322,-0.027471742,0.0,0.0010337513,0.6988481,1.6755942
3.804,-0.008154126,-0.01710309,-0.032731332,-1.1269112e-06,0.0010337473,0.6988481,1.6756867
4.004,-0.0093669435,-0.01674657,-0.036808062,0.0,0.0010341923,0.6988483,1.6756953
4.204,-0.012520183,-0.013915744,-0.03879177,0.0,0.0010357099,0.69884884,1.6760011
4.404,-0.017212128,-0.008760576,-0.039605558,0.0,0.0010356309,0.69884914,1.6764234
4.604,-0.025426153,-0.0030921295,-0.039047185,0.0,0.0010357606,0.69884956,1.6767588
4.804,-0.03534493,0.002257577,-0.039534252,0.0,0.0010349025,0.6988495,1.6770569
5.004,-0.046116203,0.005781019,-0.040558025,0.0,0.001034185,0.69884974,1.6773169
5.204,-0.058634717,0.008160535,-0.041283417,0.0,0.0010335242,0.6988498,1.6776943
5.404,-0.071617745,0.011104011,-0.04435305,0.0,0.0010346284,0.6988499,1.6780288
5.604,-0.08258626,0.017742494,-0.04639942,0.0,0.0010367868,0.6988495,1.6778681
5.804,-0.08963329,0.023797456,-0.046655152,0.0,0.0010351101,0.69884896,1.6777298
6.004,-0.0941035,0.02546569,-0.045698892,0.0,0.0010337918,0.69884825,1.6779668
6.204,-0.09481544,0.024994178,-0.045117643,8.008999e-07,0.0010259617,0.6988481,
6.404,-0.093732186,0.026827147,-0.046093076,-4.805012e-07,0.0010248134,0.6988485,
6.604,-0.092736065,0.029698623,-0.04720579,-1.4870792e-06,-3.8902118e-07,0.69884825,
6.804,-0.09140758,0.02864364,-0.048021227,-2.7671108e-06,0.0,0.69884855,
7.004,-0.088592574,0.022358336,-0.048336804,-5.2551654e-06,2.971789e-06,0.6988493,
7.204,-0.08860108,0.022362974,-0.049047403,-8.030826e-05,4.3634343e-05,0.6196342,
7.404,-0.088624336,0.02237561,-0.048736867,-0.00015484948,8.40187e-05,0.5206948,
7.604,-0.08866201,0.02239606,-0.048017316,-0.00022886628,0.00012411893,0.4224515,
7.804,-0.088713914,0.022424197,-0.046847146,-0.00030245606,0.00016398783,0.32477492,
8.004,-0.088779904,0.02245997,-0.04687314,-0.00037575932,0.00020370151,0.22747871,
8.204,-0.088860005,0.022503387,-0.04765032,-0.0004489268,0.00024334158,0.13036278,
8.404,-0.08895425,0.022554472,-0.052012946,-0.00052205427,0.00028296007,0.033299804,
8.604,-0.08906257,0.022613177,-0.057666495,-0.0005950965,0.0003225324,-0.06365016,
8.804,-0.08918481,0.022679426,-0.06237573,-0.00066800474,0.00036203206,-0.1604221,
9.004,-0.08932088,0.022753153,-0.06711048,-0.0007407637,0.0004014508,-0.2569958,
9.204,-0.0894708,0.022834385,-0.071866155,-0.0008134287,0.0004408187,-0.35344493,
9.404,-0.08963474,0.022923212,-0.077908784,-0.0008860956,0.00048018765,-0.4498966,
9.604,-0.08981273,0.023019657,-0.08378498,-0.000958779,0.0005195656,-0.5463702,
9.804,-0.09000473,0.02312369,-0.09174552,-0.0010314537,0.00055893866,-0.6428322,
10.004,-0.090210736,0.023235315,-0.10007005,-0.0011041256,0.0005983102,-0.7392904,
10.204,-0.09043046,0.023354372,-0.1056919,-0.0011680163,0.0006328964,-0.8356649,
10.404,-0.09065524,0.023476148,-0.11211277,-0.0011624608,0.0006296579,-0.9320525,
10.604,-0.09087925,0.023597473,-0.13446815,-0.0011461952,0.0006206112,-1.0290139,
10.804,-0.09110183,0.02371798,-0.19341688,-0.0011178342,0.00060502643,-1.1272526,
11.004,-0.09132052,0.02383633,-0.2925338,-0.0010759463,0.0005821105,-1.2268437,
11.204,-0.09153024,0.023949774,-0.4271636,-0.0010187378,0.00055089104,-1.3268436,
11.404,-0.091726735,0.024055999,-0.59634113,-0.0009424855,0.00050937355,-1.4268435,
11.604,-0.09190521,0.024152426,-0.7980489,-0.0008331176,0.00044995203,-1.4998447,
11.804,-0.09206884,0.024240777,-1.0113509,-0.0008094503,0.00043714282,-1.5,
12.004,-0.09222891,0.024327215,-1.2224845,-0.0007914091,0.00042740567,-1.5,
12.204,-0.0923854,0.024411717,-1.4395701,-0.0007737967,0.0004178981,-1.5,
12.404,-0.09253856,0.02449442,-1.6679624,-0.00075790833,0.0004093197,-1.5,
12.604,-0.09268872,0.024575498,-1.9059397,-0.00074342603,0.00040150812,-1.5,
12.804,-0.09283618,0.024655119,-2.1533775,-0.000730413,0.00039448933,-1.5,
13.004,-0.09298112,0.024733387,-2.4065766,-0.00071805436,0.0003878232,-1.5,
13.204,-0.093123265,0.024810163,-2.663404,-0.0006978894,0.0003769324,-1.4658326,
13.404,-0.093258716,0.024883313,-2.907927,-0.00065429165,0.00035338555,-1.3859072,
13.604,-0.0933846,0.024951307,-3.1337392,-0.0006042372,0.00032635313,-1.3062145,1.6646606
13.804,-0.093500175,0.025013728,-3.3450103,-0.00054818456,0.0002960811,-1.2278221,1.6646606
14.004,-0.09360282,0.025069166,-3.542868,-0.0004779582,0.00025815162,-1.1500355,1.6646606
14.204,-0.09369133,0.02511697,-3.7293663,-0.00040714786,0.00021990482,-1.0724561,1.6646606
14.404,-0.093765326,0.025156952,-3.9051895,-0.00033668656,0.00018184652,-0.9945675,1.6646606
14.604,-0.09382879,0.025191236,-4.0711365,-0.0003076043,0.00016612906,-0.91566205,1.6646606
14.804,-0.09388617,0.025222218,-4.2232833,-0.00027091432,0.00014631216,-0.8362852,1.6646606
15.004,-0.09393601,0.02524912,-4.3592253,-0.00023299335,0.00012583412,-0.7567509,1.6646606
15.204,-0.09397831,0.02527195,-4.493549,-0.00019511695,0.000105380175,-0.5773811,1.6646606
15.404,-0.09401314,0.025290739,-4.5825357,-0.00015725016,8.493142e-05,-0.3416459,1.6646606
15.604,-0.09404052,0.025305498,-4.636617,-0.00011934866,6.44639e-05,-0.22522599,1.6646606
15.804,-0.09406138,0.025316754,-4.6775618,-9.876398e-05,5.3384603e-05,-0.19467586,1.6646606
16.004,-0.09408001,0.02532683,-4.7143383,-8.9072084e-05,4.8151436e-05,-0.17617482,1.6646606
16.204,-0.09409671,0.02533587,-4.747632,-7.933536e-05,4.289402e-05,-0.15940608,1.6646606
16.404,-0.094111934,0.025344094,-4.7777157,-7.3013165e-05,3.9463455e-05,-0.14423458,1.6646606
16.604,-0.09412563,0.025351495,-4.804881,-6.5281245e-05,3.5295285e-05,-0.13052352,1.6646606
16.804,-0.09413802,0.025358187,-4.829451,-5.978508e-05,3.231511e-05,-0.118117265,1.6646606
17.004,-0.09414922,0.025364246,-4.8516893,-5.3572054e-05,2.897831e-05,-0.10688078,1.6646606
17.204,-0.094159365,0.025369728,-4.8718147,-4.884392e-05,2.6392898e-05,-0.09670556,1.6646606
17.404,-0.09416852,0.025374673,-4.8900123,-4.4248125e-05,2.3915254e-05,-0.0874991,1.6646606
17.604,-0.09417683,0.025379151,-4.9064612,-3.9673803e-05,2.1439278e-05,-0.079171896,1.6646606
17.804,-0.09418431,0.025383195,-4.921328,-3.6069465e-05,1.9489187e-05,-0.0716457,1.6646606
17.988,-0.07432933,0.03845766,-5.0,,,,1.6641669
18.188,-0.07432933,0.03845766,-5.0,,,,1.6641669
18.388,-0.07432933,0.03845766,-5.0,,,,1.6641669
18.588,-0.07432933,0.03845766,-5.0,,,,1.6641669
18.78,-0.07432933,0.03845766,-5.0,,,,1.6641669
18.98,-0.07432933,0.03845766,-5.0,,,,1.6641669
19.18,-0.07432933,0.03845766,-5.0,,,,1.6641669
19.38,-0.07432933,0.03845766,-5.0,,,,1.6641669
19.572,-0.07432933,0.03845766,-5.0,,,,1.6641669
19.772,-0.07432933,0.03845766,-5.0,,,,1.6641669
19.968,-0.07432933,0.03845766,-5.0,,,,1.6641669
20.188,-0.07432933,0.03845766,-5.0,,,,1.6641669
20.368,-0.07432933,0.03845766,-5.0,,,,1.6641669
20.568,-0.07432933,0.03845766,-5.0,,,,1.6641669
20.768,-0.07432933,0.03845766,-5.0,,,,1.6641669
20.964,-0.07432933,0.03845766,-5.0,,,,1.6641669
21.168,-0.07432933,0.03845766,-5.0,,,,1.6641669
21.36,-0.07432933,0.03845766,-5.0,,,,1.6641669
21.608,-0.07432933,0.03845766,-5.0,,,,1.6641669
21.808,-0.07432933,0.03845766,-5.0,,,,1.6641669
22.008,-0.07432933,0.03845766,-5.0,,,,1.6641669
22.188,-0.07432933,0.03845766,-5.0,,,,1.6641669
22.388,-0.07432933,0.03845766,-5.0,,,,1.6641669
22.588,-0.07432933,0.03845766,-5.0,,,,1.6641669
22.788,-0.07432933,0.03845766,-5.0,,,,1.6641669
22.98,-0.07432933,0.03845766,-5.0,,,,1.6641669
23.18,-0.07432933,0.03845766,-5.0,,,,1.6641669
23.38,-0.07432933,0.03845766,-5.0,,,,1.6641669
23.58,-0.07432933,0.03845766,-5.0,,,,1.6641669
23.78,-0.07432933,0.03845766,-5.0,,,,1.6641669
23.972,-0.07432933,0.03845766,-5.0,,,,1.6641669
24.172,-0.07432933,0.03845766,-5.0,,,,1.6641669
24.372,-0.07432933,0.03845766,-5.0,,,,1.6641669
24.568,-0.07432933,0.03845766,-5.0,,,,1.6641669
24.768,-0.07432933,0.03845766,-5.0,,,,1.6641669
24.968,-0.07432933,0.03845766,-5.0,,,,1.6641669
25.168,-0.07432933,0.03845766,-5.0,,,,1.6641669
25.368,-0.07432933,0.03845766,-5.0,,,,1.6641669
25.568,-0.07432933,0.03845766,-5.0,,,,1.6641669
25.808,-0.07432933,0.03845766,-5.0,,,,1.6641669
26.008,-0.07432933,0.03845766,-5.0,,,,1.6641669
26.208,-0.07432933,0.03845766,-5.0,,,,1.6641669
26.408,-0.07432933,0.03845766,-5.0,,,,1.6641669
26.604,-0.07432933,0.03845766,-5.0,,,,1.6641669
26.804,-0.07432933,0.03845766,-5.0,,,,1.6641669
27.0,-0.07432933,0.03845766,-5.0,,,,1.6641669
27.2,-0.07432933,0.03845766,-5.0,,,,1.6641669
27.396,-0.07432933,0.03845766,-5.0,,,,1.6641669
27.608,-0.07432933,0.03845766,-7.0,,,,1.6641669
27.808,-0.07432933,0.03845766,-7.0,,,,1.6641669
28.0,-0.07432933,0.03845766,-7.0,,,,1.6641669
28.2,-0.07432933,0.03845766,-7.0,,,,1.6641669
28.4,-0.07432933,0.03845766,-7.0,,,,1.6641669
28.6,-0.07432933,0.03845766,-7.0,,,,1.6641669
28.8,-0.07432933,0.03845766,-7.0,,,,1.6641669
29.0,-0.07432933,0.03845766,-7.0,,,,1.6641669
29.192,-0.07432933,0.03845766,-7.0,,,,1.6641669
29.392,-0.07432933,0.03845766,-7.0,,,,1.6641669
29.592,-0.07432933,0.03845766,-7.0,,,,1.6641669
29.804,-0.07432933,0.03845766,-7.0,,,,1.6641669
29.98,-0.07432933,0.03845766,-7.0,,,,1.6641669
30.172,-0.07432933,0.03845766,-7.0,,,,1.6641669
30.372,-0.07432933,0.03845766,-7.0,,,,1.6641669
30.568,-0.07432933,0.03845766,-7.0,,,,1.6641669
30.764,-0.07432933,0.03845766,-7.0,,,,1.6641669
30.968,-0.07432933,0.03845766,-7.0,,,,1.6641669
31.168,-0.07432933,0.03845766,-7.0,,,,1.6641669
31.368,-0.07432933,0.03845766,-7.0,,,,1.6641669
31.568,-0.07432933,0.03845766,-7.0,,,,1.6641669
31.808,-0.07432933,0.03845766,-7.0,,,,1.6641669
32.008,-0.07432933,0.03845766,-7.0,,,,1.6641669
32.208,-0.07432933,0.03845766,-7.0,,,,1.6641669
32.408,-0.07432933,0.03845766,-7.0,,,,1.6641669
32.608,-0.07432933,0.03845766,-5.0,,,,1.6641669
32.808,-0.07432933,0.03845766,-5.0,,,,1.6641669
33.008,-0.07432933,0.03845766,-5.0,,,,1.6641669
33.204,-0.07432933,0.03845766,-5.0,,,,1.6641669
33.404,-0.07432933,0.03845766,-5.0,,,,1.6641669
33.6,-0.07432933,0.03845766,-5.0,,,,1.6641669
33.792,-0.07432933,0.03845766,-5.0,,,,1.6641669
33.992,-0.07432933,0.03845766,-5.0,,,,1.6641669
34.188,-0.07432933,0.03845766,-5.0,,,,1.6641669
34.388,-0.07432933,0.03845766,-5.0,,,,1.6641669
34.588,-0.07432933,0.03845766,-5.0,,,,1.6641669
34.788,-0.07432933,0.03845766,-5.0,,,,1.6641669
34.988,-0.07432933,0.03845766,-5.0,,,,1.6641669
35.18,-0.07432933,0.03845766,-5.0,,,,1.6641669
35.38,-0.07432933,0.03845766,-5.0,,,,1.6641669
35.58,-0.07432933,0.03845766,-5.0,,,,1.6641669
35.78,-0.07432933,0.03845766,-5.0,,,,1.6641669
35.976,-0.07432933,0.03845766,-5.0,,,,1.6641669
36.176,-0.07432933,0.03845766,-5.0,,,,1.6641669
36.372,-0.07432933,0.03845766,-5.0,,,,1.6641669
36.572,-0.07432933,0.03845766,-5.0,,,,1.6641669
36.772,-0.07432933,0.03845766,-5.0,,,,1.6641669
36.968,-0.07432933,0.03845766,-5.0,,,,1.6641669
37.168,-0.07432933,0.03845766,-5.0,,,,1.6641669
37.368,,,,3.0,0.0,0.0,1.6641669
37.568,,,,3.0,0.0,0.0,1.6641669
37.768,,,,3.0,0.0,0.0,1.6641669
37.968,,,,3.0,0.0,0.0,1.6641669
38.16,,,,3.0,0.0,0.0,1.6641669
38.408,,,,3.0,0.0,0.0,1.6641669
38.608,,,,3.0,0.0,0.0,1.6641669
38.808,,,,3.0,0.0,0.0,1.6641669
39.008,,,,3.0,0.0,0.0,1.6641669
39.208,,,,3.0,0.0,0.0,1.6641669
39.408,,,,3.0,0.0,0.0,1.6641669
39.608,,,,3.0,0.0,0.0,1.6641669
39.8,,,,3.0,0.0,0.0,1.6641669
40.0,,,,3.0,0.0,0.0,1.6641669
40.2,,,,3.0,0.0,0.0,1.6641669
40.4,,,,3.0,0.0,0.0,1.6641669
40.592,,,,3.0,0.0,0.0,1.6641669
40.792,,,,3.0,0.0,0.0,1.6641669
40.988,,,,3.0,0.0,0.0,1.6641669
41.188,,,,3.0,0.0,0.0,1.6641669
41.388,,,,3.0,0.0,0.0,1.6641669
41.588,,,,3.0,0.0,0.0,1.6641669
41.784,,,,3.0,0.0,0.0,1.6641669
41.984,,,,3.0,0.0,0.0,1.6641669
42.18,,,,3.0,0.0,0.0,1.6641669
42.408,13.291352,-0.051577475,-5.0,,,,1.6641669
42.6,13.291352,-0.051577475,-5.0,,,,1.6641669
42.8,13.291352,-0.051577475,-5.0,,,,1.6641669
43.0,13.291352,-0.051577475,-5.0,,,,1.6641669
43.2,13.291352,-0.051577475,-5.0,,,,1.6641669
43.4,13.291352,-0.051577475,-5.0,,,,1.6641669
43.6,13.291352,-0.051577475,-5.0,,,,1.6641669
43.792,13.291352,-0.051577475,-5.0,,,,1.6641669
43.992,13.291352,-0.051577475,-5.0,,,,1.6641669
44.188,13.291352,-0.051577475,-5.0,,,,1.6641669
44.388,13.291352,-0.051577475,-5.0,,,,1.6641669
44.588,13.291352,-0.051577475,-5.0,,,,1.6641669
44.788,13.291352,-0.051577475,-5.0,,,,1.6641669
44.988,13.291352,-0.051577475,-5.0,,,,1.6641669
45.18,13.291352,-0.051577475,-5.0,,,,1.6641669
45.384,,,,0.0,2.0,0.0,1.6641669
45.58,,,,0.0,2.0,0.0,1.6641669
45.78,,,,0.0,2.0,0.0,1.6641669
45.976,,,,0.0,2.0,0.0,1.6641669
46.176,,,,0.0,2.0,0.0,1.6641669
46.372,,,,0.0,2.0,0.0,1.6641669
46.572,,,,0.0,2.0,0.0,1.6641669
46.768,,,,0.0,2.0,0.0,1.6641669
46.968,,,,0.0,2.0,0.0,1.6641669
47.164,,,,0.0,2.0,0.0,1.6641669
47.364,,,,0.0,2.0,0.0,1.6641669
47.608,,,,0.0,2.0,0.0,1.6641669
47.808,,,,0.0,2.0,0.0,1.6641669
47.952,,,,0.0,2.0,0.0,1.6641669
48.172,13.275663,4.6758723,-5.0,,,,1.6641669
48.368,13.275663,4.6758723,-5.0,,,,1.6641669
48.568,13.275663,4.6758723,-5.0,,,,1.6641669
48.768,13.275663,4.6758723,-5.0,,,,1.6641669
48.968,13.275663,4.6758723,-5.0,,,,1.6641669
49.168,13.275663,4.6758723,-5.0,,,,1.6641669
49.368,13.275663,4.6758723,-5.0,,,,1.6641669
49.608,13.275663,4.6758723,-5.0,,,,1.6641669
49.808,13.275663,4.6758723,-5.0,,,,1.6641669
50.008,13.275663,4.6758723,-5.0,,,,1.6641669
50.208,13.275663,4.6758723,-5.0,,,,1.6641669
50.408,13.275663,4.6758723,-5.0,,,,1.6641669
50.608,13.275663,4.6758723,-5.0,,,,1.6641669
50.8,13.275663,4.6758723,-5.0,,,,1.6641669
51.0,13.275663,4.6758723,-5.0,,,,1.6641669
