timestamp_s,output[0],output[1],output[2],output[3]
4.848,0.0,0.0,0.0,0.0
4.86,0.0,0.0,0.0,0.0
4.96,0.0,0.0,0.0,0.0
5.06,0.0,0.0,0.0,0.0
5.156,0.0,0.0,0.0,0.0
5.256,0.0,0.0,0.0,0.0
5.356,0.0,0.0,0.0,0.0
5.46,0.0,0.0,0.0,0.0
5.556,0.0,0.0,0.0,0.0
5.66,0.0,0.0,0.0,0.0
5.76,0.0,0.0,0.0,0.0
5.86,0.0,0.0,0.0,0.0
5.96,0.0,0.0,0.0,0.0
6.06,0.0,0.0,0.0,0.0
6.16,0.0,0.0,0.0,0.0
6.256,0.0,0.0,0.0,0.0
6.36,0.0,0.0,0.0,0.0
6.46,0.0,0.0,0.0,0.0
6.56,0.0,0.0,0.0,0.0
6.66,0.0,0.0,0.0,0.0
6.76,0.0,0.0,0.0,0.0
6.86,0.0,0.0,0.0,0.0
6.96,0.0,0.0,0.0,0.0
7.06,0.0,0.0,0.0,0.0
7.16,0.0,0.0,0.0,0.0
7.256,0.0,0.0,0.0,0.0
7.36,0.0,0.0,0.0,0.0
7.46,0.0,0.0,0.0,0.0
7.56,0.0,0.0,0.0,0.0
7.66,0.0,0.0,0.0,0.0
7.76,0.0,0.0,0.0,0.0
7.856,0.0,0.0,0.0,0.0
7.96,0.0,0.0,0.0,0.0
8.06,0.0,0.0,0.0,0.0
8.16,0.0,0.0,0.0,0.0
8.26,0.0,0.0,0.0,0.0
8.36,0.0,0.0,0.0,0.0
8.46,0.0,0.0,0.0,0.0
8.56,0.0,0.0,0.0,0.0
8.66,0.0,0.0,0.0,0.0
8.76,0.0,0.0,0.0,0.0
8.86,0.0,0.0,0.0,0.0
8.96,0.0,0.0,0.0,0.0
9.06,0.0,0.0,0.0,0.0
9.16,0.0,0.0,0.0,0.0
9.26,0.0,0.0,0.0,0.0
9.36,0.0,0.0,0.0,0.0
9.46,0.0,0.0,0.0,0.0
9.56,0.0,0.0,0.0,0.0
9.66,0.0,0.0,0.0,0.0
9.76,0.0,0.0,0.0,0.0
9.86,0.0,0.0,0.0,0.0
9.956,0.0,0.0,0.0,0.0
10.06,0.0,0.0,0.0,0.0
10.16,0.0,0.0,0.0,0.0
10.26,0.0,0.0,0.0,0.0
10.36,0.0,0.0,0.0,0.0
10.46,0.0,0.0,0.0,0.0
10.56,0.0,0.0,0.0,0.0
10.66,0.0,0.0,0.0,0.0
10.76,0.0,0.0,0.0,0.0
10.86,0.0,0.0,0.0,0.0
10.96,0.0,0.0,0.0,0.0
11.06,0.0,0.0,0.0,0.0
11.16,0.0,0.0,0.0,0.0
